nutrient,accuracy,trainingRegime,repeat,model type
tn,0.5210752382790109,catchmentChars,22,RFR
tp,0.3695228393367402,catchmentChars,22,RFR
random,0.02385734996007,catchmentChars,22,RFR
doc,0.0856747736068261,catchmentChars,23,RFR
no3,0.4530285600340741,catchmentChars,23,RFR
tn,0.5306583868652546,catchmentChars,23,RFR
tp,0.3441668534058208,catchmentChars,23,RFR
random,0.0244855373938049,catchmentChars,23,RFR
doc,0.1277699593934769,catchmentChars,24,RFR
no3,0.458962879103259,catchmentChars,24,RFR
tn,0.5170508620876693,catchmentChars,24,RFR
tp,0.3291256396048088,catchmentChars,24,RFR
random,0.0306749597012965,catchmentChars,24,RFR
doc,0.1652457758175128,catchmentChars,25,RFR
no3,0.4497267095866553,catchmentChars,25,RFR
tn,0.5363239053573985,catchmentChars,25,RFR
tp,0.3395471236837463,catchmentChars,25,RFR
random,-0.0044984194870587,catchmentChars,25,RFR
doc,0.156349578214786,catchmentChars,26,RFR
no3,0.4414275593041962,catchmentChars,26,RFR
tn,0.5131476632942416,catchmentChars,26,RFR
tp,0.3294718097316546,catchmentChars,26,RFR
random,-0.0013674244659176,catchmentChars,26,RFR
doc,0.1332696855533476,catchmentChars,27,RFR
no3,0.4501748248385806,catchmentChars,27,RFR
tn,0.5378972614329225,catchmentChars,27,RFR
tp,0.370984279111502,catchmentChars,27,RFR
random,-0.0238215103640331,catchmentChars,27,RFR
doc,0.1449692777976372,catchmentChars,28,RFR
no3,0.4452615617875364,catchmentChars,28,RFR
tn,0.5212287793305951,catchmentChars,28,RFR
tp,0.3562657208779025,catchmentChars,28,RFR
random,-0.0027697094223309,catchmentChars,28,RFR
doc,0.1432694068128874,catchmentChars,29,RFR
no3,0.4636050398398463,catchmentChars,29,RFR
tn,0.5249500893675176,catchmentChars,29,RFR
tp,0.3249887062007107,catchmentChars,29,RFR
random,0.0341873659788487,catchmentChars,29,RFR
doc,0.1599350618511569,catchmentChars,30,RFR
no3,0.4470782416445675,catchmentChars,30,RFR
tn,0.5412042038098998,catchmentChars,30,RFR
tp,0.350504589068216,catchmentChars,30,RFR
random,-0.007418345702852,catchmentChars,30,RFR
doc,0.0977847227931799,catchmentChars,31,RFR
no3,0.46296614379926,catchmentChars,31,RFR
tn,0.5190372390021663,catchmentChars,31,RFR
tp,0.3518706308628735,catchmentChars,31,RFR
random,0.016600684954803,catchmentChars,31,RFR
doc,0.1043269264388457,catchmentChars,32,RFR
no3,0.4616027555293809,catchmentChars,32,RFR
tn,0.5378208556123648,catchmentChars,32,RFR
tp,0.3454378686046282,catchmentChars,32,RFR
random,0.0018878790579048,catchmentChars,32,RFR
doc,0.1203385274084405,catchmentChars,33,RFR
no3,0.4497752789497027,catchmentChars,33,RFR
tn,0.5372524382407928,catchmentChars,33,RFR
tp,0.3329014385166075,catchmentChars,33,RFR
random,0.0220772106094253,catchmentChars,33,RFR
doc,0.1345313118548594,catchmentChars,34,RFR
no3,0.4539978440185996,catchmentChars,34,RFR
tn,0.5203818008922902,catchmentChars,34,RFR
tp,0.355660597461182,catchmentChars,34,RFR
random,0.0321560963812015,catchmentChars,34,RFR
doc,0.1606171980521943,catchmentChars,35,RFR
no3,0.4683481489999799,catchmentChars,35,RFR
tn,0.5355210453632737,catchmentChars,35,RFR
tp,0.3297988393169025,catchmentChars,35,RFR
random,-0.016259689395446,catchmentChars,35,RFR
doc,0.1736921047536123,catchmentChars,36,RFR
no3,0.4506623363997629,catchmentChars,36,RFR
tn,0.5222359195899278,catchmentChars,36,RFR
tp,0.3482962732896734,catchmentChars,36,RFR
random,0.0307311759195024,catchmentChars,36,RFR
doc,0.130903346261841,catchmentChars,37,RFR
no3,0.4609428952586341,catchmentChars,37,RFR
tn,0.5221408168685784,catchmentChars,37,RFR
tp,0.3687944230018141,catchmentChars,37,RFR
random,0.0306465688367264,catchmentChars,37,RFR
doc,0.1711171664476776,catchmentChars,38,RFR
no3,0.4347630755126668,catchmentChars,38,RFR
tn,0.5081869106181625,catchmentChars,38,RFR
tp,0.352791355847369,catchmentChars,38,RFR
random,0.0338178193393169,catchmentChars,38,RFR
doc,0.1466187516963126,catchmentChars,39,RFR
no3,0.4357857604975672,catchmentChars,39,RFR
tn,0.5215231350068659,catchmentChars,39,RFR
tp,0.3442808713999696,catchmentChars,39,RFR
random,-0.0279999633823211,catchmentChars,39,RFR
doc,0.1478725243731972,catchmentChars,40,RFR
no3,0.4424938617907634,catchmentChars,40,RFR
tn,0.5118174607635874,catchmentChars,40,RFR
tp,0.3468885767515235,catchmentChars,40,RFR
random,-0.0278982104123712,catchmentChars,40,RFR
doc,0.1291741592956954,catchmentChars,41,RFR
no3,0.4135073374632362,catchmentChars,41,RFR
tn,0.5202459413056209,catchmentChars,41,RFR
tp,0.3501701429883467,catchmentChars,41,RFR
random,-0.0120324421122086,catchmentChars,41,RFR
doc,0.1680396687635491,catchmentChars,42,RFR
no3,0.4489796069374305,catchmentChars,42,RFR
tn,0.5382463104852483,catchmentChars,42,RFR
tp,0.3272762688557624,catchmentChars,42,RFR
random,0.0074670455449665,catchmentChars,42,RFR
doc,0.0942409690338894,catchmentChars,43,RFR
no3,0.4350680622899771,catchmentChars,43,RFR
tn,0.5438842514228519,catchmentChars,43,RFR
tp,0.3411955462043672,catchmentChars,43,RFR
random,0.0239981840439496,catchmentChars,43,RFR
doc,0.181780076116001,catchmentChars,44,RFR
no3,0.4509066903535552,catchmentChars,44,RFR
tn,0.5235123894003646,catchmentChars,44,RFR
tp,0.3394583650231039,catchmentChars,44,RFR
random,-0.0194616704720724,catchmentChars,44,RFR
doc,0.1248613120953802,catchmentChars,45,RFR
no3,0.4505644271181755,catchmentChars,45,RFR
tn,0.5265457511294187,catchmentChars,45,RFR
tp,0.3487030997342061,catchmentChars,45,RFR
random,0.0578292225435105,catchmentChars,45,RFR
doc,0.1129102857891085,catchmentChars,46,RFR
no3,0.4369924270374177,catchmentChars,46,RFR
tn,0.5170125098610232,catchmentChars,46,RFR
tp,0.3353183802450481,catchmentChars,46,RFR
random,0.0251190790707259,catchmentChars,46,RFR
doc,0.150628062629672,catchmentChars,47,RFR
no3,0.4337840508110088,catchmentChars,47,RFR
tn,0.5112087973700704,catchmentChars,47,RFR
tp,0.3110053659175421,catchmentChars,47,RFR
random,0.0273408382015187,catchmentChars,47,RFR
doc,0.1323224226864864,catchmentChars,48,RFR
no3,0.4551675275461107,catchmentChars,48,RFR
tn,0.5091513485139836,catchmentChars,48,RFR
tp,0.3400169294094767,catchmentChars,48,RFR
random,0.0119601991139005,catchmentChars,48,RFR
doc,0.0983444464680649,catchmentChars,49,RFR
no3,0.4513899579195768,catchmentChars,49,RFR
tn,0.5383957983513925,catchmentChars,49,RFR
tp,0.3367360253875955,catchmentChars,49,RFR
random,0.0029468882385268,catchmentChars,49,RFR
doc,0.1840642561108758,catchmentChars,50,RFR
no3,0.4569797683918171,catchmentChars,50,RFR
tn,0.5526096916342185,catchmentChars,50,RFR
tp,0.3716574515800575,catchmentChars,50,RFR
random,0.0155476663292913,catchmentChars,50,RFR
doc,0.1584796127827662,catchmentChars,51,RFR
no3,0.4301095029569876,catchmentChars,51,RFR
tn,0.5114524570614227,catchmentChars,51,RFR
tp,0.3092873694110087,catchmentChars,51,RFR
random,-0.0132493070843577,catchmentChars,51,RFR
doc,0.1473625542924417,catchmentChars,52,RFR
no3,0.4457335929837199,catchmentChars,52,RFR
tn,0.5327281789784588,catchmentChars,52,RFR
tp,0.3461033077706426,catchmentChars,52,RFR
random,0.0155851324046473,catchmentChars,52,RFR
doc,0.1424613434347296,catchmentChars,53,RFR
no3,0.4390827880369194,catchmentChars,53,RFR
tn,0.5272377577739372,catchmentChars,53,RFR
tp,0.3343988721519761,catchmentChars,53,RFR
random,0.0051161802461062,catchmentChars,53,RFR
doc,0.1083394067303722,catchmentChars,54,RFR
no3,0.4409973558569821,catchmentChars,54,RFR
tn,0.5269036029141163,catchmentChars,54,RFR
tp,0.3244351315348993,catchmentChars,54,RFR
random,-0.0128014335616419,catchmentChars,54,RFR
doc,0.1132815438908002,catchmentChars,55,RFR
no3,0.4331402310041434,catchmentChars,55,RFR
tn,0.5173135126838654,catchmentChars,55,RFR
tp,0.347328710012875,catchmentChars,55,RFR
random,0.0099757780282048,catchmentChars,55,RFR
doc,0.0970139683900849,catchmentChars,56,RFR
no3,0.4387906603535076,catchmentChars,56,RFR
tn,0.5501299904728342,catchmentChars,56,RFR
tp,0.3496520206823704,catchmentChars,56,RFR
random,-0.0117902562601195,catchmentChars,56,RFR
doc,0.1440107821312999,catchmentChars,57,RFR
no3,0.465836806411819,catchmentChars,57,RFR
tn,0.5257214690367003,catchmentChars,57,RFR
tp,0.3327298186660146,catchmentChars,57,RFR
random,0.0061349773804643,catchmentChars,57,RFR
doc,0.1487555600530756,catchmentChars,58,RFR
no3,0.4400351301784768,catchmentChars,58,RFR
tn,0.520996100281458,catchmentChars,58,RFR
tp,0.3462543485692164,catchmentChars,58,RFR
random,-0.0373526987748533,catchmentChars,58,RFR
doc,0.1555796240505167,catchmentChars,59,RFR
no3,0.4490194185289466,catchmentChars,59,RFR
tn,0.5265272572275097,catchmentChars,59,RFR
tp,0.3526041817804735,catchmentChars,59,RFR
random,-0.000770936379244,catchmentChars,59,RFR
doc,0.1527469485001837,catchmentChars,60,RFR
no3,0.4517392327746011,catchmentChars,60,RFR
tn,0.530441802387778,catchmentChars,60,RFR
tp,0.3519140800059368,catchmentChars,60,RFR
random,0.0547646642765249,catchmentChars,60,RFR
doc,0.1746662515732461,catchmentChars,61,RFR
no3,0.4632938806466181,catchmentChars,61,RFR
tn,0.5369558934631041,catchmentChars,61,RFR
tp,0.3272185132499566,catchmentChars,61,RFR
random,-0.0083182279573859,catchmentChars,61,RFR
doc,0.1077582915361941,catchmentChars,62,RFR
no3,0.4443736157594697,catchmentChars,62,RFR
tn,0.5283684725402445,catchmentChars,62,RFR
tp,0.3516126119189268,catchmentChars,62,RFR
random,-0.0120881762732911,catchmentChars,62,RFR
doc,0.1396265780315806,catchmentChars,63,RFR
no3,0.4568624548930665,catchmentChars,63,RFR
tn,0.5143179825724551,catchmentChars,63,RFR
tp,0.3321885590752137,catchmentChars,63,RFR
random,-0.0015747097588054,catchmentChars,63,RFR
doc,0.1212914532393721,catchmentChars,64,RFR
no3,0.4488896373275427,catchmentChars,64,RFR
tn,0.5255009094392409,catchmentChars,64,RFR
tp,0.3488267837883304,catchmentChars,64,RFR
random,0.0144568153577472,catchmentChars,64,RFR
doc,0.1832551780118677,catchmentChars,65,RFR
no3,0.4661843887472996,catchmentChars,65,RFR
tn,0.5489627942903521,catchmentChars,65,RFR
tp,0.342181178612238,catchmentChars,65,RFR
random,0.0012148360200333,catchmentChars,65,RFR
doc,0.1520850250749585,catchmentChars,66,RFR
no3,0.4551792134681797,catchmentChars,66,RFR
tn,0.544091153987588,catchmentChars,66,RFR
tp,0.3331884536589925,catchmentChars,66,RFR
random,-0.0004982413993008,catchmentChars,66,RFR
doc,0.1795716444885023,catchmentChars,67,RFR
no3,0.4464175831786653,catchmentChars,67,RFR
tn,0.532080929370125,catchmentChars,67,RFR
tp,0.3284611249302257,catchmentChars,67,RFR
random,0.0219295725404798,catchmentChars,67,RFR
doc,0.1514575775799266,catchmentChars,68,RFR
no3,0.4469928675423626,catchmentChars,68,RFR
tn,0.5243714406500515,catchmentChars,68,RFR
tp,0.3177114841141136,catchmentChars,68,RFR
random,7.632541057767117e-05,catchmentChars,68,RFR
doc,0.1710810729484498,catchmentChars,69,RFR
no3,0.4406048806743575,catchmentChars,69,RFR
tn,0.5331649624875094,catchmentChars,69,RFR
tp,0.3512436075064915,catchmentChars,69,RFR
random,0.0490315313173106,catchmentChars,69,RFR
doc,0.1291957141146609,catchmentChars,70,RFR
no3,0.4393160941066871,catchmentChars,70,RFR
tn,0.5392237896189807,catchmentChars,70,RFR
tp,0.3425081176943743,catchmentChars,70,RFR
random,0.0172813904534576,catchmentChars,70,RFR
doc,0.157213503247942,catchmentChars,71,RFR
no3,0.4473213165211431,catchmentChars,71,RFR
tn,0.5252355009497863,catchmentChars,71,RFR
tp,0.3620459096729896,catchmentChars,71,RFR
random,-0.0188642894332056,catchmentChars,71,RFR
doc,0.1265409718504616,catchmentChars,72,RFR
no3,0.4225831650344527,catchmentChars,72,RFR
tn,0.5093227771995361,catchmentChars,72,RFR
tp,0.3301318650456767,catchmentChars,72,RFR
random,0.023555120281597,catchmentChars,72,RFR
doc,0.1830541686011556,catchmentChars,73,RFR
no3,0.4517044396423099,catchmentChars,73,RFR
tn,0.5257717725329005,catchmentChars,73,RFR
tp,0.336891234393597,catchmentChars,73,RFR
random,0.0014980805220644,catchmentChars,73,RFR
doc,0.1756970834229938,catchmentChars,74,RFR
no3,0.4430299338072286,catchmentChars,74,RFR
tn,0.5273460437021205,catchmentChars,74,RFR
tp,0.3465041317143319,catchmentChars,74,RFR
random,-0.0059736758417563,catchmentChars,74,RFR
doc,0.1220288348176361,catchmentChars,75,RFR
no3,0.4400259751885494,catchmentChars,75,RFR
tn,0.524130479245831,catchmentChars,75,RFR
tp,0.3388542866431306,catchmentChars,75,RFR
random,0.0371628037228887,catchmentChars,75,RFR
doc,0.1755321183770718,catchmentChars,76,RFR
no3,0.4405753743983933,catchmentChars,76,RFR
tn,0.5196833079926158,catchmentChars,76,RFR
tp,0.335654722101691,catchmentChars,76,RFR
random,0.0034063687326628,catchmentChars,76,RFR
doc,0.1213216184082526,catchmentChars,77,RFR
no3,0.4440054260820124,catchmentChars,77,RFR
tn,0.509812784048151,catchmentChars,77,RFR
tp,0.3444362802310513,catchmentChars,77,RFR
random,0.0280130523274294,catchmentChars,77,RFR
doc,0.0877743800091502,catchmentChars,78,RFR
no3,0.4330033379731042,catchmentChars,78,RFR
tn,0.5005956817080874,catchmentChars,78,RFR
tp,0.33765373906301,catchmentChars,78,RFR
random,0.0124386513974655,catchmentChars,78,RFR
doc,0.1631630202226334,catchmentChars,79,RFR
no3,0.447005226329075,catchmentChars,79,RFR
tn,0.5321652579102361,catchmentChars,79,RFR
tp,0.3661430096692608,catchmentChars,79,RFR
random,-0.0045641666772906,catchmentChars,79,RFR
doc,0.1585115795846593,catchmentChars,80,RFR
no3,0.4422949690157068,catchmentChars,80,RFR
tn,0.5264653566112112,catchmentChars,80,RFR
tp,0.3469097894856691,catchmentChars,80,RFR
random,0.011991133080032,catchmentChars,80,RFR
doc,0.1488420464206237,catchmentChars,81,RFR
no3,0.4323197381116639,catchmentChars,81,RFR
