nutrient,accuracy,trainingRegime,repeat,model type
no3,0.3959442802031512,catchmentChars,111,GBR
tn,0.5417415885221646,catchmentChars,111,GBR
tp,0.3292870980232283,catchmentChars,111,GBR
random,0.0112751488144492,catchmentChars,111,GBR
doc,0.0738832990613146,catchmentChars,112,GBR
no3,0.4030892180255014,catchmentChars,112,GBR
tn,0.5490397266663096,catchmentChars,112,GBR
tp,0.3330884470687222,catchmentChars,112,GBR
random,0.0126126755949086,catchmentChars,112,GBR
doc,0.0746736520434619,catchmentChars,113,GBR
no3,0.4091383399030435,catchmentChars,113,GBR
tn,0.5434023567596786,catchmentChars,113,GBR
tp,0.3295592927530562,catchmentChars,113,GBR
random,0.0154943640013811,catchmentChars,113,GBR
doc,0.072329682586772,catchmentChars,114,GBR
no3,0.3985969739334833,catchmentChars,114,GBR
tn,0.5431412239989996,catchmentChars,114,GBR
tp,0.3331856542340939,catchmentChars,114,GBR
random,0.0255445426001883,catchmentChars,114,GBR
doc,0.0730842003946805,catchmentChars,115,GBR
no3,0.4027902593590442,catchmentChars,115,GBR
tn,0.5429291321351812,catchmentChars,115,GBR
tp,0.337242633130474,catchmentChars,115,GBR
random,0.0215156787196622,catchmentChars,115,GBR
doc,0.0783423161877107,catchmentChars,116,GBR
no3,0.3999903816522858,catchmentChars,116,GBR
tn,0.5491938881333227,catchmentChars,116,GBR
tp,0.340197384850286,catchmentChars,116,GBR
random,0.0191375730970646,catchmentChars,116,GBR
doc,0.0782309413253565,catchmentChars,117,GBR
no3,0.4040619597468446,catchmentChars,117,GBR
tn,0.5414140795772338,catchmentChars,117,GBR
tp,0.3341635529156893,catchmentChars,117,GBR
random,0.0086232867944466,catchmentChars,117,GBR
doc,0.0780347553967113,catchmentChars,118,GBR
no3,0.4060731137842323,catchmentChars,118,GBR
tn,0.5434866264265132,catchmentChars,118,GBR
tp,0.3359017622613583,catchmentChars,118,GBR
random,0.0162360654966503,catchmentChars,118,GBR
doc,0.0744091058875653,catchmentChars,119,GBR
no3,0.4002738898717678,catchmentChars,119,GBR
tn,0.5402603850702019,catchmentChars,119,GBR
tp,0.3333802144547062,catchmentChars,119,GBR
random,0.0048604915588567,catchmentChars,119,GBR
doc,0.0707130624388202,catchmentChars,120,GBR
no3,0.403723052060579,catchmentChars,120,GBR
tn,0.5414140795772338,catchmentChars,120,GBR
tp,0.3334663904101964,catchmentChars,120,GBR
random,0.0114855193225058,catchmentChars,120,GBR
doc,0.0817786343087469,catchmentChars,121,GBR
no3,0.4018564149569327,catchmentChars,121,GBR
tn,0.5420147047622744,catchmentChars,121,GBR
tp,0.3368204541033832,catchmentChars,121,GBR
random,0.0147510868029945,catchmentChars,121,GBR
doc,0.0780005367344963,catchmentChars,122,GBR
no3,0.400393591673043,catchmentChars,122,GBR
tn,0.5485892036686435,catchmentChars,122,GBR
tp,0.3321407637813648,catchmentChars,122,GBR
random,0.0178409832763895,catchmentChars,122,GBR
doc,0.0736383740160457,catchmentChars,123,GBR
no3,0.4055419015287167,catchmentChars,123,GBR
tn,0.5477846339019776,catchmentChars,123,GBR
tp,0.3352341260551019,catchmentChars,123,GBR
random,0.0167500420973644,catchmentChars,123,GBR
doc,0.0756724085779141,catchmentChars,124,GBR
no3,0.399238334372535,catchmentChars,124,GBR
tn,0.5484324275332768,catchmentChars,124,GBR
tp,0.336012397785454,catchmentChars,124,GBR
random,0.0124149991948432,catchmentChars,124,GBR
doc,0.0736431738151361,catchmentChars,125,GBR
no3,0.404012017926577,catchmentChars,125,GBR
tn,0.5422212695724994,catchmentChars,125,GBR
tp,0.3345352799222834,catchmentChars,125,GBR
random,0.0223544508380446,catchmentChars,125,GBR
doc,0.0767700910258777,catchmentChars,126,GBR
no3,0.4081765851042797,catchmentChars,126,GBR
tn,0.5420147047622744,catchmentChars,126,GBR
tp,0.3258911769681234,catchmentChars,126,GBR
random,0.00858154702759,catchmentChars,126,GBR
doc,0.0784752667210304,catchmentChars,127,GBR
no3,0.4068362796791656,catchmentChars,127,GBR
tn,0.5479911987122027,catchmentChars,127,GBR
tp,0.3355195439660084,catchmentChars,127,GBR
random,0.0099024186793703,catchmentChars,127,GBR
doc,0.0799089006112422,catchmentChars,128,GBR
no3,0.3944838815879999,catchmentChars,128,GBR
tn,0.5422212695724996,catchmentChars,128,GBR
tp,0.3297048434379752,catchmentChars,128,GBR
random,0.0153743251138953,catchmentChars,128,GBR
doc,0.0937053217600102,catchmentChars,129,GBR
no3,0.4010126303335498,catchmentChars,129,GBR
tn,0.5428448624683464,catchmentChars,129,GBR
tp,0.3345168811531345,catchmentChars,129,GBR
random,0.0153684368132954,catchmentChars,129,GBR
doc,0.0753322921551773,catchmentChars,130,GBR
no3,0.4001658928771301,catchmentChars,130,GBR
tn,0.543536431268214,catchmentChars,130,GBR
tp,0.3334542186630961,catchmentChars,130,GBR
random,0.0093143986438187,catchmentChars,130,GBR
doc,0.0774206233915876,catchmentChars,131,GBR
no3,0.4007764663509509,catchmentChars,131,GBR
tn,0.541414079577234,catchmentChars,131,GBR
tp,0.3380644577742701,catchmentChars,131,GBR
random,0.0085145302313891,catchmentChars,131,GBR
doc,0.0755191363742717,catchmentChars,132,GBR
no3,0.4010511790836961,catchmentChars,132,GBR
tn,0.5436905927352271,catchmentChars,132,GBR
tp,0.3397472708216168,catchmentChars,132,GBR
random,0.0291184084485883,catchmentChars,132,GBR
doc,0.0777594351538323,catchmentChars,133,GBR
no3,0.3998144900862689,catchmentChars,133,GBR
tn,0.5420147047622744,catchmentChars,133,GBR
tp,0.3329056005101198,catchmentChars,133,GBR
random,0.0247210972566479,catchmentChars,133,GBR
doc,0.0792731487435635,catchmentChars,134,GBR
no3,0.4010050653778049,catchmentChars,134,GBR
tn,0.5489056521577743,catchmentChars,134,GBR
tp,0.3385335668801814,catchmentChars,134,GBR
random,0.0160010451993288,catchmentChars,134,GBR
doc,0.080331503473508,catchmentChars,135,GBR
no3,0.4023032221771758,catchmentChars,135,GBR
tn,0.5488357603575956,catchmentChars,135,GBR
tp,0.3360970681419097,catchmentChars,135,GBR
random,0.0206885781959288,catchmentChars,135,GBR
doc,0.0758130151049361,catchmentChars,136,GBR
no3,0.4044235745591387,catchmentChars,136,GBR
tn,0.5489899218246088,catchmentChars,136,GBR
tp,0.3365204523030636,catchmentChars,136,GBR
random,0.0174911886001946,catchmentChars,136,GBR
doc,0.0773901371760686,catchmentChars,137,GBR
no3,0.4000137086834641,catchmentChars,137,GBR
tn,0.5435364312682142,catchmentChars,137,GBR
tp,0.3369508093191798,catchmentChars,137,GBR
random,0.0220524196914044,catchmentChars,137,GBR
doc,0.074113959256151,catchmentChars,138,GBR
no3,0.4040631306812492,catchmentChars,138,GBR
tn,0.5420147047622744,catchmentChars,138,GBR
tp,0.3375041515161407,catchmentChars,138,GBR
random,0.0029388307047746,catchmentChars,138,GBR
doc,0.0789762704122273,catchmentChars,139,GBR
no3,0.3951646305629462,catchmentChars,139,GBR
tn,0.5402603850702018,catchmentChars,139,GBR
tp,0.3337117844965819,catchmentChars,139,GBR
random,0.0229503953210343,catchmentChars,139,GBR
doc,0.0804626079516468,catchmentChars,140,GBR
no3,0.3984738698813114,catchmentChars,140,GBR
tn,0.5457636804682975,catchmentChars,140,GBR
tp,0.3338799622542647,catchmentChars,140,GBR
random,0.0153388612252974,catchmentChars,140,GBR
doc,0.0946462180840819,catchmentChars,141,GBR
no3,0.3984342595352855,catchmentChars,141,GBR
tn,0.5435364312682142,catchmentChars,141,GBR
tp,0.3317378799336937,catchmentChars,141,GBR
random,0.0167296195337817,catchmentChars,141,GBR
doc,0.0778234988478158,catchmentChars,142,GBR
no3,0.3997432105792348,catchmentChars,142,GBR
tn,0.5490397266663096,catchmentChars,142,GBR
tp,0.3359507618915606,catchmentChars,142,GBR
random,0.0162080788227353,catchmentChars,142,GBR
doc,0.0805296360804493,catchmentChars,143,GBR
no3,0.3993925912796195,catchmentChars,143,GBR
tn,0.541414079577234,catchmentChars,143,GBR
tp,0.3276465419807027,catchmentChars,143,GBR
random,0.0170405144441851,catchmentChars,143,GBR
doc,0.0766473049581161,catchmentChars,144,GBR
no3,0.4001681606197453,catchmentChars,144,GBR
tn,0.543536431268214,catchmentChars,144,GBR
tp,0.3315098690447349,catchmentChars,144,GBR
random,0.0221695861760995,catchmentChars,144,GBR
doc,0.0771900766090123,catchmentChars,145,GBR
no3,0.4064599168239323,catchmentChars,145,GBR
tn,0.5434866264265132,catchmentChars,145,GBR
tp,0.3402933156886994,catchmentChars,145,GBR
random,0.0211799570625695,catchmentChars,145,GBR
doc,0.0993617596068564,catchmentChars,146,GBR
no3,0.3990295556048276,catchmentChars,146,GBR
tn,0.5433324649595002,catchmentChars,146,GBR
tp,0.332728592943006,catchmentChars,146,GBR
random,0.0241315451627566,catchmentChars,146,GBR
doc,0.0718542996289962,catchmentChars,147,GBR
no3,0.4008055622252722,catchmentChars,147,GBR
tn,0.5477846339019776,catchmentChars,147,GBR
tp,0.3364184174096476,catchmentChars,147,GBR
random,0.0197262086373776,catchmentChars,147,GBR
doc,0.0779407123591832,catchmentChars,148,GBR
no3,0.3964609886794566,catchmentChars,148,GBR
tn,0.5412717172518606,catchmentChars,148,GBR
tp,0.3381662180374156,catchmentChars,148,GBR
random,0.0195446631641451,catchmentChars,148,GBR
doc,0.0722594044710006,catchmentChars,149,GBR
no3,0.3967828430566492,catchmentChars,149,GBR
tn,0.542281338503882,catchmentChars,149,GBR
tp,0.3346782623635889,catchmentChars,149,GBR
random,0.0147452591476343,catchmentChars,149,GBR
doc,0.0768887474583484,catchmentChars,150,GBR
no3,0.4028376885001088,catchmentChars,150,GBR
tn,0.5417415885221645,catchmentChars,150,GBR
tp,0.3374123003091577,catchmentChars,150,GBR
random,0.009092434352539,catchmentChars,150,GBR
doc,0.0743320767411416,catchmentChars,151,GBR
no3,0.4026201418009342,catchmentChars,151,GBR
tn,0.5435364312682142,catchmentChars,151,GBR
tp,0.3345544670251865,catchmentChars,151,GBR
random,0.0080713856165549,catchmentChars,151,GBR
doc,0.0791179067376697,catchmentChars,152,GBR
no3,0.4038344140092184,catchmentChars,152,GBR
tn,0.5484324275332766,catchmentChars,152,GBR
tp,0.3320808145850811,catchmentChars,152,GBR
random,0.0197825003779401,catchmentChars,152,GBR
doc,0.0731462815242338,catchmentChars,153,GBR
no3,0.4049021061349556,catchmentChars,153,GBR
tn,0.5434023567596786,catchmentChars,153,GBR
tp,0.3378916302369139,catchmentChars,153,GBR
random,0.0171107058518243,catchmentChars,153,GBR
doc,0.0764926522941861,catchmentChars,154,GBR
no3,0.4012904272678029,catchmentChars,154,GBR
tn,0.5430859082705479,catchmentChars,154,GBR
tp,0.3389815963467877,catchmentChars,154,GBR
random,0.019010258102361,catchmentChars,154,GBR
doc,0.0759415899464153,catchmentChars,155,GBR
no3,0.402340866736162,catchmentChars,155,GBR
tn,0.5402603850702019,catchmentChars,155,GBR
tp,0.3367827679592534,catchmentChars,155,GBR
random,0.0169657425567465,catchmentChars,155,GBR
doc,0.0700308373592364,catchmentChars,156,GBR
no3,0.4029875628877033,catchmentChars,156,GBR
tn,0.542281338503882,catchmentChars,156,GBR
tp,0.3397627670732578,catchmentChars,156,GBR
random,0.0136853634568565,catchmentChars,156,GBR
doc,0.0790508772841818,catchmentChars,157,GBR
no3,0.4027019865004464,catchmentChars,157,GBR
tn,0.5477846339019776,catchmentChars,157,GBR
tp,0.3320972938726018,catchmentChars,157,GBR
random,0.0129630239987789,catchmentChars,157,GBR
doc,0.0746207978216428,catchmentChars,158,GBR
no3,0.4048986551784136,catchmentChars,158,GBR
tn,0.5431412239989994,catchmentChars,158,GBR
tp,0.3337848443090273,catchmentChars,158,GBR
random,0.0083443068021799,catchmentChars,158,GBR
doc,0.0809810033748115,catchmentChars,159,GBR
no3,0.3960129776056783,catchmentChars,159,GBR
tn,0.5436063230683925,catchmentChars,159,GBR
tp,0.336319643039461,catchmentChars,159,GBR
random,0.0106121136581069,catchmentChars,159,GBR
doc,0.0799668343049523,catchmentChars,160,GBR
no3,0.4029987253194321,catchmentChars,160,GBR
tn,0.549109618466488,catchmentChars,160,GBR
tp,0.3267398022021164,catchmentChars,160,GBR
random,0.0128482684685475,catchmentChars,160,GBR
doc,0.0806429781881306,catchmentChars,161,GBR
no3,0.4012017309559883,catchmentChars,161,GBR
tn,0.548644519397095,catchmentChars,161,GBR
tp,0.3359052502358546,catchmentChars,161,GBR
random,0.0043922926920506,catchmentChars,161,GBR
doc,0.0767861013706201,catchmentChars,162,GBR
no3,0.4039787584285012,catchmentChars,162,GBR
tn,0.5420147047622744,catchmentChars,162,GBR
tp,0.3374357383510813,catchmentChars,162,GBR
random,0.019156382619117,catchmentChars,162,GBR
doc,0.0796172280328535,catchmentChars,163,GBR
no3,0.4019441515868369,catchmentChars,163,GBR
tn,0.542881941961834,catchmentChars,163,GBR
tp,0.3295840478830857,catchmentChars,163,GBR
random,0.0079458081120248,catchmentChars,163,GBR
doc,0.0806977105213457,catchmentChars,164,GBR
no3,0.4075205010862808,catchmentChars,164,GBR
tn,0.5420147047622744,catchmentChars,164,GBR
tp,0.3327189193767293,catchmentChars,164,GBR
random,0.0151798405135609,catchmentChars,164,GBR
doc,0.0742208876366765,catchmentChars,165,GBR
no3,0.4015532660693514,catchmentChars,165,GBR
tn,0.5420147047622744,catchmentChars,165,GBR
tp,0.3394311418758368,catchmentChars,165,GBR
random,0.0103615550389865,catchmentChars,165,GBR
doc,0.0769230829831943,catchmentChars,166,GBR
no3,0.4048865186198063,catchmentChars,166,GBR
tn,0.542881941961834,catchmentChars,166,GBR
tp,0.336208658531825,catchmentChars,166,GBR
random,0.0151724015696443,catchmentChars,166,GBR
doc,0.0709772134479559,catchmentChars,167,GBR
no3,0.4020061376566314,catchmentChars,167,GBR
tn,0.5491938881333227,catchmentChars,167,GBR
tp,0.3361682110210298,catchmentChars,167,GBR
random,0.0231795973739032,catchmentChars,167,GBR
doc,0.0762332333509221,catchmentChars,168,GBR
no3,0.3994160659264943,catchmentChars,168,GBR
tn,0.5489899218246088,catchmentChars,168,GBR
tp,0.3336595336573806,catchmentChars,168,GBR
random,0.0110245581463569,catchmentChars,168,GBR
doc,0.0844750696639162,catchmentChars,169,GBR
no3,0.4003703090511301,catchmentChars,169,GBR
tn,0.5488357603575956,catchmentChars,169,GBR
tp,0.3368771537963383,catchmentChars,169,GBR
random,0.0103112352225936,catchmentChars,169,GBR
doc,0.0788701043313594,catchmentChars,170,GBR
no3,0.4034249430956881,catchmentChars,170,GBR
tn,0.5457636804682975,catchmentChars,170,GBR
tp,0.3403944146509561,catchmentChars,170,GBR
random,0.0219064154551266,catchmentChars,170,GBR
doc,0.0784216395493756,catchmentChars,171,GBR
no3,0.3953564858500414,catchmentChars,171,GBR
tn,0.5417415885221647,catchmentChars,171,GBR
tp,0.3308360358818238,catchmentChars,171,GBR
random,0.0126659605038914,catchmentChars,171,GBR
doc,0.0758485183974132,catchmentChars,172,GBR
no3,0.3990185958839851,catchmentChars,172,GBR
tn,0.5412717172518609,catchmentChars,172,GBR
tp,0.3357585188368138,catchmentChars,172,GBR
random,0.0180003433823583,catchmentChars,172,GBR
doc,0.0784211903387295,catchmentChars,173,GBR
no3,0.4040061079633805,catchmentChars,173,GBR
tn,0.5422212695724994,catchmentChars,173,GBR
tp,0.3332461351759087,catchmentChars,173,GBR
random,0.0231326737229046,catchmentChars,173,GBR
doc,0.0749653219156215,catchmentChars,174,GBR
no3,0.3999240703756548,catchmentChars,174,GBR
tn,0.5422212695724994,catchmentChars,174,GBR
tp,0.3319029811702746,catchmentChars,174,GBR
random,0.0201449737596939,catchmentChars,174,GBR
doc,0.0715656650993193,catchmentChars,175,GBR
no3,0.401246359066128,catchmentChars,175,GBR
tn,0.5488357603575956,catchmentChars,175,GBR
tp,0.3388516430072336,catchmentChars,175,GBR
random,0.0164095719396751,catchmentChars,175,GBR
doc,0.0761112822510712,catchmentChars,176,GBR
no3,0.4009572487722098,catchmentChars,176,GBR
tn,0.5433324649595002,catchmentChars,176,GBR
tp,0.3328427819921409,catchmentChars,176,GBR
random,0.0196735253234667,catchmentChars,176,GBR
doc,0.0773923933509063,catchmentChars,177,GBR
no3,0.4030191324379865,catchmentChars,177,GBR
tn,0.5422212695724996,catchmentChars,177,GBR
tp,0.3426043459953848,catchmentChars,177,GBR
random,0.0149173222146185,catchmentChars,177,GBR
doc,0.0762146187586043,catchmentChars,178,GBR
no3,0.3988237965136182,catchmentChars,178,GBR
tn,0.542281338503882,catchmentChars,178,GBR
tp,0.3376486840398551,catchmentChars,178,GBR
random,0.0086852803865137,catchmentChars,178,GBR
doc,0.0778529808005944,catchmentChars,179,GBR
no3,0.4026134796082939,catchmentChars,179,GBR
tn,0.5420147047622745,catchmentChars,179,GBR
tp,0.3374911542870031,catchmentChars,179,GBR
random,-0.0005069550906666,catchmentChars,179,GBR
doc,0.0788949134679547,catchmentChars,180,GBR
no3,0.3949750716827779,catchmentChars,180,GBR
tn,0.5475180001603699,catchmentChars,180,GBR
tp,0.3392486620852488,catchmentChars,180,GBR
random,0.0151594261614548,catchmentChars,180,GBR
doc,0.0778619831699065,catchmentChars,181,GBR
no3,0.3997996019040061,catchmentChars,181,GBR
tn,0.5434866264265132,catchmentChars,181,GBR
tp,0.3336676061655345,catchmentChars,181,GBR
random,0.009047180275174,catchmentChars,181,GBR
doc,0.0757530910647261,catchmentChars,182,GBR
no3,0.4053091807962096,catchmentChars,182,GBR
tn,0.5428448624683464,catchmentChars,182,GBR
tp,0.3308473216843483,catchmentChars,182,GBR
random,0.0096047091655139,catchmentChars,182,GBR
doc,0.0763255406543019,catchmentChars,183,GBR
no3,0.4000023574366982,catchmentChars,183,GBR
tn,0.5491096184664881,catchmentChars,183,GBR
tp,0.3334252079190059,catchmentChars,183,GBR
random,0.0076027664601524,catchmentChars,183,GBR
doc,0.077841903785081,catchmentChars,184,GBR
no3,0.4076782948796432,catchmentChars,184,GBR
tn,0.5435364312682142,catchmentChars,184,GBR
tp,0.3377550860715725,catchmentChars,184,GBR
random,0.0114624000204858,catchmentChars,184,GBR
doc,0.0765128548165279,catchmentChars,185,GBR
no3,0.3992373107823544,catchmentChars,185,GBR
tn,0.5420147047622745,catchmentChars,185,GBR
tp,0.3357614929608655,catchmentChars,185,GBR
random,0.0178570615791969,catchmentChars,185,GBR
doc,0.0769501046509971,catchmentChars,186,GBR
no3,0.3960428307379939,catchmentChars,186,GBR
tn,0.5479911987122027,catchmentChars,186,GBR
tp,0.3366900801743558,catchmentChars,186,GBR
random,0.0099374757661296,catchmentChars,186,GBR
doc,0.0803427541761374,catchmentChars,187,GBR
no3,0.4024206115244367,catchmentChars,187,GBR
tn,0.5433324649595002,catchmentChars,187,GBR
tp,0.3296660599456364,catchmentChars,187,GBR
random,0.0086925707459745,catchmentChars,187,GBR
doc,0.0745241104246318,catchmentChars,188,GBR
no3,0.3984096943501715,catchmentChars,188,GBR
tn,0.542281338503882,catchmentChars,188,GBR
tp,0.3368596458492316,catchmentChars,188,GBR
random,0.0066722645235475,catchmentChars,188,GBR
doc,0.0773214863759114,catchmentChars,189,GBR
no3,0.3994726946636783,catchmentChars,189,GBR
tn,0.5422212695724994,catchmentChars,189,GBR
tp,0.3323909158722641,catchmentChars,189,GBR
random,0.0251524826053459,catchmentChars,189,GBR
doc,0.0718408905455015,catchmentChars,190,GBR
no3,0.3954523124244355,catchmentChars,190,GBR
tn,0.5475180001603699,catchmentChars,190,GBR
tp,0.3280858253500632,catchmentChars,190,GBR
random,0.0181712549530805,catchmentChars,190,GBR
doc,0.0818924417850673,catchmentChars,191,GBR
no3,0.3972916317338493,catchmentChars,191,GBR
tn,0.543536431268214,catchmentChars,191,GBR
tp,0.3386483379066188,catchmentChars,191,GBR
random,0.0180480400116969,catchmentChars,191,GBR
doc,0.0770939600275607,catchmentChars,192,GBR
no3,0.4004854115413515,catchmentChars,192,GBR
tn,0.5429291321351812,catchmentChars,192,GBR
tp,0.3344067312703123,catchmentChars,192,GBR
random,0.0129888064580967,catchmentChars,192,GBR
doc,0.0713152495185395,catchmentChars,193,GBR
no3,0.3971695151806736,catchmentChars,193,GBR
tn,0.542281338503882,catchmentChars,193,GBR
tp,0.3411524285675095,catchmentChars,193,GBR
random,0.0241853064840411,catchmentChars,193,GBR
doc,0.0771328290763703,catchmentChars,194,GBR
no3,0.394982822163076,catchmentChars,194,GBR
tn,0.542281338503882,catchmentChars,194,GBR
tp,0.3330880973036675,catchmentChars,194,GBR
random,0.0187272947511525,catchmentChars,194,GBR
doc,0.0759071279149321,catchmentChars,195,GBR
no3,0.3979306179846155,catchmentChars,195,GBR
tn,0.5429291321351812,catchmentChars,195,GBR
tp,0.3308340984647545,catchmentChars,195,GBR
random,0.0209761984137268,catchmentChars,195,GBR
doc,0.0782270642799106,catchmentChars,196,GBR
no3,0.399147914942258,catchmentChars,196,GBR
tn,0.5431412239989994,catchmentChars,196,GBR
tp,0.3373280875993345,catchmentChars,196,GBR
random,0.011400034327279,catchmentChars,196,GBR
doc,0.0811152731725397,catchmentChars,197,GBR
no3,0.3969486892267598,catchmentChars,197,GBR
tn,0.5422813385038823,catchmentChars,197,GBR
tp,0.3351081586682141,catchmentChars,197,GBR
random,0.0186054242677097,catchmentChars,197,GBR
doc,0.0704588250829396,catchmentChars,198,GBR
no3,0.4040308803571061,catchmentChars,198,GBR
tn,0.5410050835102529,catchmentChars,198,GBR
tp,0.3313751025200278,catchmentChars,198,GBR
random,0.0103146802530018,catchmentChars,198,GBR
doc,0.0754093261223036,catchmentChars,199,GBR
no3,0.4035741373830334,catchmentChars,199,GBR
tn,0.5422212695724995,catchmentChars,199,GBR
tp,0.3311276877824309,catchmentChars,199,GBR
random,0.0116568625233377,catchmentChars,199,GBR
doc,0.5163002155809171,full,0,RFR
no3,0.3240550464785673,full,0,RFR
tn,0.6733661407559599,full,0,RFR
tp,0.5364942600223185,full,0,RFR
random,-0.1321624983209257,full,0,RFR
doc,0.5166849587379712,full,1,RFR
no3,0.3483191153560701,full,1,RFR
tn,0.6744471887841498,full,1,RFR
tp,0.5404048305177153,full,1,RFR
random,-0.0856759834195262,full,1,RFR
doc,0.5366902101303059,full,2,RFR
no3,0.3666020555117137,full,2,RFR
tn,0.682603771484406,full,2,RFR
tp,0.5281049031304232,full,2,RFR
random,-0.0991143458309939,full,2,RFR
doc,0.5014881200095153,full,3,RFR
no3,0.3022313903162489,full,3,RFR
tn,0.6804895310203254,full,3,RFR
tp,0.5430669375142332,full,3,RFR
random,-0.1224892250185534,full,3,RFR
doc,0.5232566054733933,full,4,RFR
no3,0.3570917726859913,full,4,RFR
tn,0.6733460945567551,full,4,RFR
tp,0.5524928387574192,full,4,RFR
random,-0.1265708593144083,full,4,RFR
doc,0.5202552601174877,full,5,RFR
no3,0.3502110397092075,full,5,RFR
tn,0.6687578255181965,full,5,RFR
tp,0.5305201567783843,full,5,RFR
random,-0.0988066163481971,full,5,RFR
doc,0.5041475746505797,full,6,RFR
no3,0.3559347466454325,full,6,RFR
tn,0.6743349133312406,full,6,RFR
tp,0.5605360009388667,full,6,RFR
random,-0.1263546672660573,full,6,RFR
doc,0.5540507356798434,full,7,RFR
no3,0.3385027616481522,full,7,RFR
tn,0.6860833383662914,full,7,RFR
tp,0.5346129621278108,full,7,RFR
random,-0.1238651983336669,full,7,RFR
doc,0.5103527822564456,full,8,RFR
no3,0.3674879720061996,full,8,RFR
tn,0.6918952407412202,full,8,RFR
tp,0.532914685659616,full,8,RFR
random,-0.1073283322559863,full,8,RFR
doc,0.5136350028263215,full,9,RFR
no3,0.3365045553992806,full,9,RFR
tn,0.6885113382844419,full,9,RFR
tp,0.5278580646980451,full,9,RFR
random,-0.1215211565251239,full,9,RFR
doc,0.5061486766975509,full,10,RFR
no3,0.3457635085320373,full,10,RFR
tn,0.6829450023815358,full,10,RFR
tp,0.54030216564171,full,10,RFR
random,-0.0915018705026817,full,10,RFR
doc,0.525928731773374,full,11,RFR
no3,0.3395416889542075,full,11,RFR
tn,0.6993203659824441,full,11,RFR
tp,0.5448582520720571,full,11,RFR
random,-0.1204528418679717,full,11,RFR
doc,0.5012504173010995,full,12,RFR
no3,0.3420335214400452,full,12,RFR
tn,0.685440931051776,full,12,RFR
tp,0.5702724978735552,full,12,RFR
random,-0.1379917421521055,full,12,RFR
doc,0.5156641373853139,full,13,RFR
no3,0.3354331761148493,full,13,RFR
tn,0.6963597837288634,full,13,RFR
tp,0.5226983077363093,full,13,RFR
random,-0.1182757689720828,full,13,RFR
doc,0.5134779023086584,full,14,RFR
no3,0.3667453802627592,full,14,RFR
tn,0.6760943121084309,full,14,RFR
tp,0.5261973172259948,full,14,RFR
random,-0.1234651378836824,full,14,RFR
doc,0.5268921188503519,full,15,RFR
no3,0.359504213359011,full,15,RFR
tn,0.6726588876432293,full,15,RFR
tp,0.5278419334499522,full,15,RFR
random,-0.1176104063192524,full,15,RFR
doc,0.4852026583965414,full,16,RFR
no3,0.3276518906045368,full,16,RFR
tn,0.6676803161266147,full,16,RFR
tp,0.5304217853558332,full,16,RFR
random,-0.098336790846641,full,16,RFR
doc,0.5091501716059823,full,17,RFR
no3,0.3533021544552632,full,17,RFR
tn,0.6889580884774116,full,17,RFR
tp,0.5340585296877434,full,17,RFR
random,-0.1317166829055032,full,17,RFR
doc,0.5196656906350257,full,18,RFR
no3,0.3712133634039963,full,18,RFR
tn,0.6786819834035178,full,18,RFR
tp,0.5369851471717514,full,18,RFR
random,-0.1210715917440601,full,18,RFR
doc,0.5243476728238807,full,19,RFR
no3,0.3359119084115355,full,19,RFR
tn,0.6871114617327911,full,19,RFR
tp,0.5409276556389602,full,19,RFR
random,-0.1130345581127274,full,19,RFR
doc,0.5140122102859336,full,20,RFR
no3,0.3480753334396765,full,20,RFR
tn,0.6766937838683649,full,20,RFR
tp,0.5335214999644893,full,20,RFR
random,-0.1035423643057606,full,20,RFR
doc,0.4833420724381499,full,21,RFR
no3,0.3330432580604507,full,21,RFR
tn,0.6509733535716171,full,21,RFR
tp,0.5466855176036769,full,21,RFR
random,-0.1069763351713783,full,21,RFR
doc,0.4957721668470348,full,22,RFR
no3,0.3340114004813501,full,22,RFR
tn,0.6729286356041315,full,22,RFR
tp,0.5299866818177046,full,22,RFR
random,-0.1036949857595961,full,22,RFR
doc,0.5229371739220545,full,23,RFR
no3,0.3366171481935336,full,23,RFR
tn,0.67416984406346,full,23,RFR
tp,0.5475230839531908,full,23,RFR
random,-0.1406499418393179,full,23,RFR
doc,0.5063216798088463,full,24,RFR
no3,0.3299026736823572,full,24,RFR
tn,0.6712790205048704,full,24,RFR
tp,0.5462721068417777,full,24,RFR
random,-0.1364101301378808,full,24,RFR
doc,0.5149287222190462,full,25,RFR
no3,0.3523128344401925,full,25,RFR
tn,0.675041234526738,full,25,RFR
tp,0.5569171555966287,full,25,RFR
random,-0.1142586215892897,full,25,RFR
doc,0.5279214776273573,full,26,RFR
no3,0.3531139067501565,full,26,RFR
tn,0.6904187752451212,full,26,RFR
tp,0.5529375677446697,full,26,RFR
random,-0.1030289083437616,full,26,RFR
doc,0.4927532608790098,full,27,RFR
no3,0.3512794780192885,full,27,RFR
tn,0.6843920381413673,full,27,RFR
tp,0.5468556448828727,full,27,RFR
random,-0.1112907885388947,full,27,RFR
doc,0.5011212893087751,full,28,RFR
no3,0.3560743646588967,full,28,RFR
tn,0.6857668145388767,full,28,RFR
tp,0.5414922577322614,full,28,RFR
random,-0.0797734090740713,full,28,RFR
doc,0.5105926236549225,full,29,RFR
no3,0.3625820315921422,full,29,RFR
tn,0.6693049192077745,full,29,RFR
tp,0.5337847303558101,full,29,RFR
random,-0.0738627046538968,full,29,RFR
