spec_power_1.5,spec_power_3.0,spec_power_6.0,spec_power_12.0,spec_power_24.0,spec_power_48.0,spec_power_96.0,spec_power_192.0,spec_power_384.0,area,elev,forest,wetland,urban,ag,roads,doc,no3,tn,tp,sort
0.32091227586881005,0.3089905155501834,0.23221434429428447,0.1664298198012318,0.21463118093622355,0.25190692375894264,0.4055387796737532,0.5766847324281017,0.7426205701181572,0.0008033964146021516,0.4010630587098333,0.3542828685258964,0.0033013590594794854,0.012399876001239986,0.0634824054355542,0.07215743440233235,0.047389558232931735,0.0008434400721286682,0.009774935135461292,0.04580226344971198,2815
0.006344963022297027,0.015673776941915147,0.033952008937707674,0.056697676359022,0.03372505137674489,0.03731469281426818,0.1703334574125252,0.5281476177333905,0.9727855305917189,0.0007797017416350092,0.07132555462387903,0.10630478087649402,0.06887001815747482,0.08566914330856691,0.7503194402190447,0.15510204081632653,0.05200803212851406,0.040383121226852135,0.04977976226392325,0.026961481932233914,153
0.003153977501806424,0.006685078541940942,0.011417123983737313,0.02319095389565868,0.035989514490745694,0.029812929517203025,0.03329404057060799,0.1734180219757635,0.7631127144973062,0.0017996216356618204,0.6394809772181402,0.6961254980079682,0.0019624745520239162,0.0016399836001639984,0.00026366494270357974,0.022011661807580175,0.0068273092369477905,0.0005253842222693108,0.002192320843138438,0.012023094155549394,1460
0.004880784509325367,0.00557044206798766,0.004653255730427042,0.00443047498584895,0.0038422702482246683,0.0072428453069785575,0.04173586759247116,0.2285362586425047,0.8492721229552674,7.403341278506432e-06,0.15263703935306908,0.3589641434262948,0.0003668176732754984,0.008299917000829991,0.00010140959334753067,0.06486880466472303,0.013554216867469882,0.0022976470930401653,0.004203624368953519,0.002658167075206499,2536
0.003090892171698498,0.005564406452707466,0.017432146746967067,0.0461005887620318,0.054649748361213765,0.0923447850295711,0.23368116932584038,0.6858968001263703,0.9631769100484894,0.010640335021228638,0.4994187285931526,0.03899402390438247,0.03781890211470388,0.00894991050089499,0.025098874353513843,0.030102040816326527,0.02279116465863454,0.0,0.006597075564673465,0.01667654277972301,56
0.0010410009128079354,0.0014034470787086294,0.001701305981726381,0.001896896533861872,0.003079582403745605,0.010872772169795611,0.04870591791004056,0.319859298653815,0.9171870038438918,7.695085996327669e-06,0.07390247715418614,0.13127490039840636,0.0,0.0,0.0027380590203833284,0.0,0.010040160642570281,0.0,0.0012067821154890484,0.0004089487808009998,2474
0.03204035915399998,0.035270971146193986,0.043213361433004534,0.05356394905898115,0.056391488254294235,0.02713593126138959,0.08228539727596054,0.13822987901122036,0.6931854823362584,2.6749934514124505e-05,0.030413711751915068,0.8381474103585658,0.06437650165984997,0.005099949000509995,0.11256464861575904,0.06851311953352769,0.04829317269076306,0.0013378704592385772,0.008809509443070053,0.004293962198410498,3834
0.13055450137408053,0.13092063172988497,0.11919206920283909,0.1535692334165388,0.1639123761176884,0.062421630220990336,0.18260387149582394,0.4390206646292706,0.8447207857517837,0.051564758186102636,0.20451771527649473,0.02448207171314741,0.015277956091924507,0.04336956630433695,0.5246628131021195,0.07842565597667639,0.042570281124498,0.032576937938599226,0.04658178965787727,0.10796990055183549,1747
0.006651346490729646,0.01700241690418619,0.05389920063662919,0.09146587440904344,0.06517425754878677,0.14304423925504745,0.46734044184382145,0.8422496770017555,0.9430682815806561,0.0029357739994835047,0.247037221266859,0.7483964143426294,0.010967848430937401,0.024029759702402974,0.0393469222188419,0.10743440233236151,0.005823293172690763,0.0002974892077064662,0.0018101731732335727,0.005266033450374475,87
0.0039713737611025935,0.007227208312983765,0.012659137967236084,0.020624430779071078,0.04270185827000782,0.08751925166121931,0.24099389200955026,0.4900662510262912,0.9582255457587294,1.099440900464159e-05,0.46416440458763836,0.9022908366533864,0.055206059827962506,0.0,0.019876280296116013,0.04737609329446064,0.025502008032128515,0.0,0.0028962770771737163,0.005316334150412998,2984
